"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 23 15:55:11 UTC 2026","Wed Sep 23 15:55:13 UTC 2026","2182","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.DetailsAPITest","com.api.tests.DetailsAPITest","validateDetailsAPIResponse","Verify Details API is showing correct response","Verify Details API is showing correct response"
"failed","Wed Sep 23 15:55:14 UTC 2026","Wed Sep 23 15:55:15 UTC 2026","600","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobAPITest","Verify Create Job API is able to create In-warranty job","Verfying if FD user is able to use create job api and is able to create a job"
"broken","Wed Sep 23 15:55:15 UTC 2026","Wed Sep 23 15:55:15 UTC 2026","654","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.CreateJobApiTestWithFakeData","com.api.tests.CreateJobApiTestWithFakeData","createJobAPITest","Verify Create Job API is able to create In-warranty job",""
"passed","Wed Sep 23 15:55:08 UTC 2026","Wed Sep 23 15:55:09 UTC 2026","1089","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApi","Verify User Details API is shwoing correct response","Verify User Details API is shwoing correct response"
"passed","Wed Sep 23 15:55:13 UTC 2026","Wed Sep 23 15:55:13 UTC 2026","478","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.MasterAPITest","com.api.tests.MasterAPITest","invalidTokenMasterAPI","Verify Master API is giving correct status code for invalid token",""
"failed","Wed Sep 23 15:55:15 UTC 2026","Wed Sep 23 15:55:16 UTC 2026","534","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.CreateJobApiWithDBValidationUsingDeserialization","com.api.tests.CreateJobApiWithDBValidationUsingDeserialization","createJobAPITest","Verify Create Job API is able to create In-warranty job",""
"passed","Wed Sep 23 15:55:04 UTC 2026","Wed Sep 23 15:55:08 UTC 2026","3708","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.LoginAPITest","com.api.tests.LoginAPITest","loginApiTest","Verify if login API is working for FD user","Verify if login API is working for FD user"
"passed","Wed Sep 23 15:55:09 UTC 2026","Wed Sep 23 15:55:10 UTC 2026","639","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.CountAPITest","com.api.tests.CountAPITest","countAPIMissingAuthToken","Verify Count API is giving correct status code for invalid token",""
"passed","Wed Sep 23 15:55:10 UTC 2026","Wed Sep 23 15:55:11 UTC 2026","598","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.CountAPITest","com.api.tests.CountAPITest","verifyCountAPIResponse","Verify Count API is showing correct response","Verify Count API is showing correct response"
"passed","Wed Sep 23 15:55:13 UTC 2026","Wed Sep 23 15:55:14 UTC 2026","675","Phoenix API Test Suite","Inwarranty Flow","com.api.tests.MasterAPITest","com.api.tests.MasterAPITest","masterAPITest","Verify Master API is showing correct response","Verify Master API is showing correct response"
